id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,is_chain,chain_reason,priority,priority_score,created_at,top_pain_review
1078,42,Seno Electricians,electricians,"Purley, South London",CR8 2DH,"8 Godstone Rd, Purley CR8 2DH",http://purley-electricians.co.uk/,purley-electricians.co.uk,020 3519 9437,ChIJU7zwYQD9dUgRljy7H7b0Y2g,5.0,1,"ERDOGAN, Senol",12942881,0,0,,,,2026-08-21T20:13:55.442870+00:00,
1079,42,Purley Electrical Services,electricians,"Purley, South London",CR8 2LP,"954A Brighton Rd, Purley CR8 2LP",,,07897 035326,ChIJX98WewD9dUgRqo1RNtbokMk,5.0,4,"COXELL, Julian Nicholas",08685077,0,1,same Companies House company number seen at 2 discovered locations,,,2026-08-21T20:13:55.950565+00:00,
1080,42,Omega Electrical Engineering Service,electricians,"Purley, South London",CR8 2DX,"18 Famet Cl, Purley CR8 2DX",http://oees.co.uk/,oees.co.uk,07941 191214,ChIJUTCOLOb9dUgRbG14SYLeE4Q,5.0,41,"WOODHOUSE, Daniel Perry",12732255,0,0,,,,2026-08-21T20:13:56.496263+00:00,
1081,42,DJM electrical (south) ltd,electricians,"Purley, South London",CR8 5BR,"9 Valley View Gardens, Kenley CR8 5BR",https://djm-electrical.uk/,djm-electrical.uk,07724 793499,ChIJ5x4V0fH_dUgR8kiiL41ixBI,4.9,35,"MCLOUGHLIN, Daniel John",13129106,0,0,,,,2026-08-21T20:13:57.008434+00:00,
1082,42,Charged Solutions - Electrician in Wallington,electricians,"Purley, South London",SM6 8HL,"12 Crichton Ave, Wallington SM6 8HL",https://www.charged-solutions.co.uk/,charged-solutions.co.uk,07946 454617,ChIJq6rW-YAHdkgR4fds8SP0FPg,5.0,69,,,0,0,,,,2026-08-21T20:13:57.351347+00:00,
1083,42,Purley Electrical Services Ltd,electricians,"Purley, South London",CR8 2DH,"5A Godstone Rd, Purley CR8 2DH",,,,ChIJfdyICQD9dUgRB-EfHQwgn0s,,,"COXELL, Julian Nicholas",08685077,0,1,same Companies House company number seen at 2 discovered locations,,,2026-08-21T20:13:57.879622+00:00,
1084,42,Skywalker Electric Limited,electricians,"Purley, South London",CR8 4AZ,"243 Old Lodge Ln, Purley CR8 4AZ",http://6a30f5266b44e.site123.me/,6a30f5266b44e.site123.me,020 3773 6988,ChIJi-2bEoP9dUgR6vA5n2EksJo,,,"ALMEIDA, Jose Ryan",14675729,0,0,,,,2026-08-21T20:13:58.351483+00:00,
1085,42,CMD Electrical Services Ltd,electricians,"Purley, South London",CR5 2HS,"27 Breakfield, Coulsdon CR5 2HS",https://www.cmdelectricalservicesltd.com/,cmdelectricalservicesltd.com,01883 338287,ChIJ59pP9Ev_dUgRBJUQIRyxWOM,4.9,66,"GRABBAN, Justin George",11512169,0,0,,,,2026-08-21T20:13:58.900658+00:00,
1086,42,A A B ELECTRICAL AND PLUMBING CONTRACTORS LTD,electricians,"Purley, South London",CR8 3NB,"35 Foxley Ln, Purley CR8 3NB",https://alf5.com/,alf5.com,,ChIJ8af3tbP9dUgRhKaaUOLv0wo,,,"BELLOT, Alan",04372064,0,0,,,,2026-08-21T20:13:59.669508+00:00,
1087,42,24x7 Plumbers And Electrical Services,electricians,"Purley, South London",CR8 2AA,"High St, Purley CR8 2AA",,,07411 491241,ChIJv3p6wfL9dUgR5QSYK-BnIjw,3.0,2,"JAMES, Jaison",13381423,0,0,,,,2026-08-21T20:14:00.277923+00:00,
