id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,is_chain,chain_reason,priority,priority_score,created_at,top_pain_review
727,29,AA Electrical Installation Services,electricians,"Stratford, East London",E15 1JZ,"4 Henniker Rd, London E15 1JZ",https://revu.website/164974,revu.website,07804 972463,ChIJ9cdksJoGSW8RQXdrXSC-ois,5.0,21,"ADCOCK, Anthony Albert",04825462,0,0,,,,2026-08-21T06:01:18.966645+00:00,
728,29,Stratford Electrical Ltd,electricians,"Stratford, East London",E15 2HU,"13 Gibbins Rd, London E15 2HU",,,07411 159548,ChIJt0VKtC8ddkgRx5WHrE3Bzr4,4.3,6,"GRAAFLAND, Marloes",07021535,0,0,,,,2026-08-21T06:01:19.645402+00:00,
729,29,Acen Solar & Electrical Ltd,electricians,"Stratford, East London",E15 1XH,"44 Broadway, London E15 1XH",https://acen-solar.co.uk/,acen-solar.co.uk,020 3005 3282,ChIJXwy9K26n2EcRyWFSCvgGd-E,5.0,45,"OZARSLAN, Aras Melih",10758282,0,0,,,,2026-08-21T06:01:20.320255+00:00,
730,29,City Electrical Factors Ltd (CEF),electricians,"Stratford, East London",E3 2JE,"Unit 4, Old Ford Trading Estate, Maverton Rd, Bow, London E3 2JE",https://www.cef.co.uk/branches/stratford,cef.co.uk,020 8981 2423,ChIJ2S7wCEAddkgRPp2jdMeszEU,3.9,21,"ASHWORTH, Christopher Martin",00336408,1,1,Companies House PSC shows corporate-entity ownership (company 00336408),,,2026-08-21T06:01:20.935055+00:00,
731,29,Springbank Electrical Services,electricians,"Stratford, East London",IG8 7LJ,"53 Brackley Square, Woodford, Woodford Green IG8 7LJ",https://springbankelectricians.co.uk/,springbankelectricians.co.uk,020 8223 0444,ChIJ0ZMXViqh2EcRbL2zuqdNzdk,5.0,2,"ROY, Valburt George",06764069,0,0,,,,2026-08-21T06:01:21.819203+00:00,
732,29,YESSS Electrical London City,electricians,"Stratford, East London",E3 2JE,"Bow, Unit 1, Old Ford Trading Estate, Maverton Rd, Greater, Fish Island, London E3 2JE",https://www.yesss.co.uk/store/london-city,yesss.co.uk,020 7537 6528,ChIJqxV4YTUddkgRrbVdexzmx_k,4.0,12,"EMMOTT, Adam James",07656807,0,0,,,,2026-08-21T06:01:22.756262+00:00,
733,29,RTRA Electrical And Heating Stratford,electricians,"Stratford, East London",E15 1XE,"47 Service Rte No 2, London E15 1XE",,,,ChIJlcpc0JMddkgRme5Cx2lLivg,,,,,0,0,,,,2026-08-21T06:01:23.090153+00:00,
734,29,Genesis Electrics Ltd,electricians,"Stratford, East London",E15 4QZ,"415 High St, London E15 4QZ",https://genesiselectricsltd.co.uk/,genesiselectricsltd.co.uk,020 3813 1796,ChIJU2iMfGqn2EcRLdCXC_yurSQ,,,"AMAEWHULE, Hermas Kasie",11158396,0,0,,,,2026-08-21T06:01:23.773563+00:00,
735,29,Electrical surplus LTD,electricians,"Stratford, East London",E10 5NA,"383 High Rd. Leyton, London E10 5NA",https://www.electrical-surplus.co.uk/,electrical-surplus.co.uk,020 8558 4019,ChIJNQYYaoMddkgR12bwJdmeuMs,4.9,12,"BARRINGTON, Antony Paul",11885315,0,0,,,,2026-08-21T06:01:24.254442+00:00,
736,29,UK Domestic Appliances Ltd – Appliance Repair London,electricians,"Stratford, East London",E15 1NS,"202 The Grove, London E15 1NS",http://www.ukdomesticappliance.com/,ukdomesticappliance.com,020 3633 5215,ChIJXfEyAHGn2EcRwYSJ4tlEBq8,4.8,151,"MUHAMMAD, Imran",04968858,0,0,,,,2026-08-21T06:01:24.887869+00:00,
737,29,Baqad Electrical Ltd,electricians,"Stratford, East London",E20 1FG,"20 Logan Cl, Greater, London E20 1FG",,,020 3996 0810,ChIJRY_Vn3oddkgRneHHeHL_1ZI,,,,,0,0,,,,2026-08-21T06:01:25.186799+00:00,
738,29,Electricbase Bow,electricians,"Stratford, East London",E3 2NQ,"2 Dace Rd, Fish Island, London E3 2NQ",https://www.electricbase.co.uk/storefinder/store/bow-1031,electricbase.co.uk,020 8221 5893,ChIJzXNdGBUddkgRwiTM2Z8Ns9Q,5.0,1,,,0,0,,,,2026-08-21T06:01:25.462643+00:00,
739,29,Richy Plumbing And Electrical Services,electricians,"Stratford, East London",E15 1BJ,"35 Grove Cres Rd, London E15 1BJ",,,07782 698187,ChIJyRKLUwCn2EcRefvQ5Odnnns,,,"ANTWI, Richard",12191032,0,0,,,,2026-08-21T06:01:26.145371+00:00,
740,29,"Light Speed Electric, Corp.",electricians,"Stratford, East London",E15 1JA,"James P William Estate Agents, 55 Leytonstone Rd, London E15 1JA",,,,ChIJJ5WZ-JCn2EcR4kBxMyZE4a0,,,"MCEVOY, Patrick James",NI003127,0,0,,,,2026-08-21T06:01:26.621606+00:00,
