id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,is_chain,chain_reason,priority,priority_score,created_at,top_pain_review
1100,43,FixElectricSparky emergency call out,electricians,"Mitcham, South London",CR4 4BE,"329 London Rd, Mitcham CR4 4BE",https://fixelectricsparky.co.uk/,fixelectricsparky.co.uk,07930 855576,ChIJ97T0agH-9WgRUzwaOsU6LVY,5.0,29,,,0,0,,,,2026-08-21T20:16:37.576220+00:00,
1101,43,ElectroLogic Electrical Sevices LTD,electricians,"Mitcham, South London",CR4 4DX,"Deer Park Gardens, London, Mitcham CR4 4DX",http://electrologic.co.uk/,electrologic.co.uk,07400 425293,ChIJVVXmkyUGdkgR6TspzWZQ9ZQ,5.0,39,"TSATSA, Giochan",16040950,0,0,,,,2026-08-21T20:16:38.006408+00:00,
1102,43,OHMATIC ELECTRICAL LTD,electricians,"Mitcham, South London",CR4 3HN,"20 Biggin Ave, Mitcham CR4 3HN",https://ohmaticelectrical.co.uk/,ohmaticelectrical.co.uk,07982 306772,ChIJYVwkcjAHdkgRB9RLh99gxSo,5.0,82,"PIWOWARCZYK, Tomasz Marek",13450616,0,0,,,,2026-08-21T20:16:38.470616+00:00,
1103,43,Reliable Electrical And Heating Mitcham,electricians,"Mitcham, South London",CR4 3NS,"27 Raleigh Gardens, Mitcham CR4 3NS",,,07481 342235,ChIJw8LgrjoHdkgR2Ja6ZxbFw8Y,5.0,2,"SINGH, Sukhwinder",13482785,0,1,same Companies House company number seen at 3 discovered locations,,,2026-08-21T20:16:38.946093+00:00,
1104,43,Happy volt electrics,electricians,"Mitcham, South London",CR4 4AD,"4 Elmwood Rd, Mitcham CR4 4AD",https://mitchamelectricians.co.uk/,mitchamelectricians.co.uk,020 3670 3949,ChIJKfOeBgAHdkgRT87cedyRyKM,5.0,2,"PLOMINSKI, Lukasz",16216234,0,0,,,,2026-08-21T20:16:39.399998+00:00,
1105,43,Braye Electrical,electricians,"Mitcham, South London",CR4 3JU,"6 Steers Mead, Mitcham CR4 3JU",,,020 3670 7944,ChIJq6p32hQGdkgRTOOc3HqNk9c,5.0,3,"VELLA, Kyle Charles John",09685638,0,0,,,,2026-08-21T20:16:40.019354+00:00,
1106,43,The one Electrician LTD,electricians,"Mitcham, South London",CR4 1DJ,"103 Tamworth Ln, London CR4 1DJ",https://theoneelectricianltd.co.uk/,theoneelectricianltd.co.uk,07590 360176,ChIJe6unf_IPdkgRlfJgcYZu7As,4.9,75,"DERVISHI, Merushe",13353816,0,0,,,,2026-08-21T20:16:40.606480+00:00,
1107,43,Mitcham Electrical And Heating Services Ltd,electricians,"Mitcham, South London",CR4 4AJ,"77 Langdale Ave, Mitcham CR4 4AJ",,,,ChIJe3j7bRUHdkgRnsIh0zlhu84,,,"PEARCE, Luke",17142687,0,1,same Companies House company number seen at 2 discovered locations,,,2026-08-21T20:16:41.144002+00:00,
1108,43,Upgrade Electrician Mitcham | Croydon | Wimbledon | Sutton,electricians,"Mitcham, South London",CR4 2QE,"3 Esher Mews, Mitcham CR4 2QE",,,07850 232156,ChIJiS1z00AGdkgRIBfl73csPLU,,,,CE037966,0,1,same Companies House company number seen at 6 discovered locations,,,2026-08-21T20:16:41.601166+00:00,
1109,43,Jahan Electrical And Heating Ltd,electricians,"Mitcham, South London",CR4 4AJ,"77 Langdale Ave, Mitcham CR4 4AJ",,,,ChIJZ-6-fAQHdkgRmj0ILCYlv3U,,,,,0,0,,,,2026-08-21T20:16:41.882242+00:00,
1111,43,Fitzpatrick Electrical Services Ltd,electricians,"Mitcham, South London",CR4 2HZ,"77 Edgehill Rd, Mitcham CR4 2HZ",,,07886 373358,ChIJCepOBpsHdkgR8lNQCbdaHNA,,,"FITZPATRICK, Mark James",08018746,0,0,,,,2026-08-21T20:16:42.701612+00:00,
1113,43,Heat & Flow,electricians,"Mitcham, South London",CR4 1DW,"41 Cambridge Rd, Mitcham CR4 1DW",http://www.heatandflowsouthlondon.co.uk/,heatandflowsouthlondon.co.uk,020 8648 9807,ChIJWYhsZVkGdkgR-0wi95cnao0,4.9,66,"BRAND, Dimitri",16820510,1,1,Companies House PSC shows corporate-entity ownership (company 16820510),,,2026-08-21T20:16:43.730458+00:00,
1114,43,Glaes Ltd,electricians,"Mitcham, South London",CR4 4EF,"Broadway Gardens, Mitcham CR4 4EF",,,07900 255653,ChIJfcGyvzsGdkgRWAq9q_DNQpY,5.0,4,"ZEDIU, Gabriel",08101770,0,0,,,,2026-08-21T20:16:44.168002+00:00,
1115,43,T G Electrical,electricians,"Mitcham, South London",CR4 2HR,"Hill Rd, Mitcham CR4 2HR",,,07882 882711,ChIJq0TbnyUHdkgRfXcGbfFLQbQ,,,"GRAHAM, Trevor",05771780,0,0,,,,2026-08-21T20:16:44.847897+00:00,
1116,43,Jimmy Electrical & Plumbing,electricians,"Mitcham, South London",CR4 3BZ,"65 Homefield Gardens, Mitcham CR4 3BZ",https://www.jimmyservices.co.uk/,jimmyservices.co.uk,07932 084695,ChIJYcFwwmZb3qERSGOCfudTvrY,,,"KELLY, James",10026147,0,0,,,,2026-08-21T20:16:45.435382+00:00,
