id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,is_chain,chain_reason,priority,priority_score,created_at,top_pain_review
640,27,Contact Electrician,electricians,South London,SE25 4UF,"11 Portland Rd, London SE25 4UF",https://www.contactelectrician.co.uk/,contactelectrician.co.uk,07517 943515,ChIJtVOgT9sBdkgROxWSi89aINk,5.0,242,"LICAJ, Klisman",12637996,0,0,,,,2026-08-20T15:09:45.879867+00:00,
641,27,ABCD Electrical,electricians,South London,SE21 8EE,"30 Martell Rd, Norwood, London SE21 8EE",https://abcdelectrical.com/service-areas/dulwich/,abcdelectrical.com,0333 577 0102,ChIJN34R86xqqwkRaktgWxC-33Y,5.0,163,"TUDUSCIUC, Silviu",09350707,0,1,URL path matches a 'service area' landing-page pattern,,,2026-08-20T15:09:46.318014+00:00,
642,27,NOD-Electrical Services - Electricians and EV Charging Experts in South London,electricians,South London,SW16 2UN,"Sunnyhill Rd, London SW16 2UN",http://www.nod-electricalservices.co.uk/,nod-electricalservices.co.uk,07772 247410,ChIJH1cbzDMHdkgRI5q1rXllhTM,5.0,34,"MARKS, Anthony Simon",13383463,0,0,,,,2026-08-20T15:09:46.914930+00:00,
643,27,Electricians London 247,electricians,South London,SW2 2TP,"18 Tulse Hill, London SW2 2TP",https://electricianslondon247.co.uk/,electricianslondon247.co.uk,020 4600 5848,ChIJD3PNX6AbkGoRrj6Q95Zy-qo,5.0,16,"AHEARNE, Andrew Arguelles",16749923,0,1,"business name ('Electricians London 247') is nothing but trade terms plus the searched town ('South London') — no brand/founder name at all, rank-and-rent search-phrase pattern rather than a real trading name",,,2026-08-20T15:09:47.437729+00:00,
644,27,EB Electrical Services Limited,electricians,South London,SW11 2EG,"Flat 2, 105 Meyrick Rd, London SW11 2EG",,,07376 635189,ChIJ0xo77USPUaQRmsgjIFyCCbU,5.0,71,,,0,0,,,,2026-08-20T15:09:47.726898+00:00,
645,27,NK Electrical Engineering,electricians,South London,SW16 2EJ,"32 Hopton Rd, London SW16 2EJ",https://www.checkatrade.com/trades/nkelectricalengineering,checkatrade.com,07745 146001,ChIJHUSzjcoHdkgR7L5lLhcDizg,5.0,125,"KAMAL, Noah Salah",15523452,0,0,,,,2026-08-20T15:09:48.192570+00:00,
646,27,Lugo. Electrician Clapham,electricians,South London,SW4 6NE,"1, Stringer Lodge, London SW4 6NE",https://electrician-clapham.lovable.app/,electrician-clapham.lovable.app,07951 383163,ChIJz9_gSi8FdkgRN0pX0zlsTzE,5.0,32,"NASIRI, Salem",15717802,0,1,same Companies House company number seen at 2 discovered locations,,,2026-08-20T15:09:48.770016+00:00,
647,27,Prime Electricians London,electricians,South London,SE8 3EJ,"9 Henrietta Cl, London SE8 3EJ",http://primeelectrical-sg.co.uk/,primeelectrical-sg.co.uk,07732 012159,ChIJtaYfnvB29AoRtTJ9lQ7haVk,4.9,62,,,0,0,,,,2026-08-20T15:09:49.028304+00:00,
648,27,RMC Electrical Ltd,electricians,South London,SW18 1JY,"5 Eastfields Ave, London SW18 1JY",http://rmcelectricalltd.co.uk/,rmcelectricalltd.co.uk,07305 539242,ChIJs3cjOa0PdkgRo1lduk8j-bM,5.0,80,"CURRAN, Rhys Michael",14119880,0,0,,,,2026-08-20T15:09:49.613251+00:00,
649,27,24/7 POWERUP ELECTRICAL LTD,electricians,South London,SW12 8QL,"42-44 Nightingale Square, London SW12 8QL",,,07982 999412,ChIJHcLN2GsFdkgRbBtVMAjL5aM,5.0,84,"SHAFIQUE, Rizwan",15894280,0,0,,,,2026-08-20T15:09:50.254459+00:00,
650,27,Diligent Electrical Contractors,electricians,South London,SE27 9UA,"2nd, Offices, 68 Norwood Park Rd, Norwood, London SE27 9UA",http://www.diligentelectrical.co.uk/,diligentelectrical.co.uk,07951 719187,ChIJhdRdHsAHdkgRIZyKg13nAK4,5.0,63,"MAXWELL, Ishmael",09614994,0,0,,,,2026-08-20T15:09:50.751643+00:00,
651,27,KADRIEN ELECTRICAL LTD,electricians,South London,SE15 3HN,"11 Grimwade Cl, London SE15 3HN",https://www.kadrienelectrical.co.uk/,kadrienelectrical.co.uk,07984 143933,ChIJ2VK4BykDdkgR0xA5maMLvdE,5.0,119,"ADRIEN, Kelvin",16078727,0,0,,,,2026-08-20T15:09:51.224291+00:00,
652,27,Certified Electricians London Ltd,electricians,South London,E14 3QA,"4, 156 Westferry Rd, London E14 3QA",http://www.certifiedelectricians.london/,certifiedelectricians.london,07951 966439,ChIJbYc7EXMDdkgRJ9BUyZ3vn8g,5.0,334,"SMALLWOOD, David",08991147,0,1,same Companies House company number seen at 5 discovered locations,,,2026-08-20T15:09:51.748193+00:00,
653,27,P J Electrics London LTD,electricians,South London,SW12 0PS,"Unit 14 Zennor Rd, London SW12 0PS",http://www.pjelectrics.co.uk/,pjelectrics.co.uk,020 8678 1954,ChIJC9Si_D8EdkgR8yvNUz96AtY,4.9,75,"ALLEN, Sean",14720860,0,0,,,,2026-08-20T15:09:52.375810+00:00,
654,27,London Electricians 24/7,electricians,South London,N3 3EZ,"116 Edgeworth Rd, London N3 3EZ",https://www.london-electricians-247.co.uk/,london-electricians-247.co.uk,020 3651 9615,ChIJ_wdrYKSp2EcRFWO4kxHqR5k,5.0,112,,,0,1,"business name ('London Electricians 24/7') is nothing but trade terms plus the searched town ('South London') — no brand/founder name at all, rank-and-rent search-phrase pattern rather than a real trading name",,,2026-08-20T15:09:52.595637+00:00,
655,27,AC Electrical Services 09 Ltd,electricians,South London,SW16 5AU,"11 Broadview Rd, London SW16 5AU",https://aceselectricians.co.uk/,aceselectricians.co.uk,020 8764 9570,ChIJBx0stFEEdkgRAVzT4XsbMs8,4.9,73,"MCFARLANE, Colin Anthony",07097086,0,0,,,,2026-08-20T15:09:53.115039+00:00,
656,27,Buildspark Electrician,electricians,South London,SW17 9BF,"29 Goldsmith Court, St Nicholas Glebe, London SW17 9BF",https://buildspark.co.uk/,buildspark.co.uk,020 3488 7378,ChIJmwWnMAAbdkgRZlLOXLDxLpo,5.0,65,"NDRECA, Arben",16970190,0,0,,,,2026-08-20T15:09:53.529283+00:00,
