id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,is_chain,chain_reason,priority,priority_score,created_at,top_pain_review
492,20,HALO HVAC,air conditioning companies,Central London,EC1V 2NX,"128 City Rd, London EC1V 2NX",https://www.halohvac.co.uk/,halohvac.co.uk,020 7117 2087,ChIJTav1sFgddkgRGfqV1flz9S4,5.0,1,"ASHLEY-HORNBY, Emily May",14987798,0,0,,,,2026-08-14T05:54:03.373055+00:00,
493,20,Air Conditioning In London,air conditioning companies,Central London,W1B 3HH,"207 Regent St., London W1B 3HH",http://airconditioning-in-london.co.uk/,airconditioning-in-london.co.uk,07387 152561,ChIJo7SsDNUadkgRhYn7-am0wso,,,"ZIDOURI, Youssef",17007106,0,1,"same Companies House company number seen at 8 discovered locations; business name ('Air Conditioning In London') is nothing but trade terms plus the searched town ('Central London') — no brand/founder name at all, rank-and-rent search-phrase pattern rather than a real trading name",,,2026-08-14T05:54:04.046819+00:00,
494,20,London Air Conditioning Services,air conditioning companies,Central London,,,https://londonaircon.co.uk/,londonaircon.co.uk,,,,,,,0,1,"business name ('London Air Conditioning Services') is nothing but trade terms plus the searched town ('Central London') — no brand/founder name at all, rank-and-rent search-phrase pattern rather than a real trading name",,,2026-08-14T05:54:39.038920+00:00,
497,20,AIR CONDITIONING & HVAC SERVICE,air conditioning companies,Central London,,,https://adk.co.uk/air-conditioning/,adk.co.uk,,,,,,,0,0,,,,2026-08-14T05:54:40.299104+00:00,
498,20,"TOP A/C Repair & HVAC Contractors in London, UK",air conditioning companies,Central London,,,https://www.houzz.com/professionals/hvac-contractors/london-z18-gb-probr0-bo~t_11814~r_100374856,houzz.com,,,,,,,0,0,,,,2026-08-14T05:54:40.643847+00:00,
