id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,is_chain,chain_reason,priority,priority_score,created_at,top_pain_review
960,37,Red Wire Electricians,electricians,"Peckham, South London",SE15 5HF,"8 William Margrie Cl, London SE15 5HF",https://peckham-electricians.co.uk/,peckham-electricians.co.uk,020 3670 4239,ChIJo_9KNQADdkgRQVnahz0BYJc,5.0,1,"BULLOCK, Nicole",08792808,0,0,,,,2026-08-21T19:08:44.651426+00:00,
961,37,Roots Electrical,electricians,"Peckham, South London",SE15 3AB,"Peckham Rye, London SE15 3AB",http://www.rootselectrical.com/,rootselectrical.com,07712 559205,ChIJ6dLfFnoDdkgRTDwLAhIsffw,5.0,15,"ROOTS, Martin James",14401494,0,0,,,,2026-08-21T19:08:45.109849+00:00,
962,37,Dr Copper Electrics,electricians,"Peckham, South London",SE15 4LN,"31A Wingfield St, London SE15 4LN",https://drcopper.co.uk/,drcopper.co.uk,07850 047286,ChIJgziHNqkDdkgRgSsXvRjykQQ,5.0,10,"THOMPSON, Richard",16517192,0,0,,,,2026-08-21T19:08:45.567305+00:00,
963,37,Westside Electrical Ltd,electricians,"Peckham, South London",SE15 4JX,"41 Anstey Rd, London SE15 4JX",http://www.westside-electrical-ltd.co.uk/,westside-electrical-ltd.co.uk,020 7635 4311,ChIJLbJrXaIDdkgRh1nKYQKH8Mk,5.0,5,"DIGWEED, Peter Jonathan",06758622,0,0,,,,2026-08-21T19:08:46.011409+00:00,
964,37,Rye Lane Electrical Ltd,electricians,"Peckham, South London",SE15 5DW,"1-2, Central buildings, Rye Ln, London SE15 5DW",http://www.ryelaneelectrical.com/,ryelaneelectrical.com,020 7157 9782,ChIJDzd0qwoDdkgR84bqoRIgOeI,4.6,9,"JACQUIN, Liam Brian",11304038,0,0,,,,2026-08-21T19:08:46.477534+00:00,
965,37,Peckham Plantation & Window Shutters,electricians,"Peckham, South London",SE15 5DP,"56a Peckham High St, London SE15 5DP",https://peckham-plantation-and-window-shutters.co.uk/,peckham-plantation-and-window-shutters.co.uk,020 3670 5774,ChIJm5WyEwADdkgR4Hz26hvZOj0,5.0,6,"MORGAN, Daniel Stephen James",14400897,0,0,,,,2026-08-21T19:08:46.985217+00:00,
966,37,Easy Electrical London LTD.,electricians,"Peckham, South London",SE5 7LP,"Camberwell Green, London SE5 7LP",https://easyelectricallondon.co.uk/,easyelectricallondon.co.uk,020 3930 1223,ChIJAQVVTe8DdkgRrK9vHhM3t_Q,5.0,5,"SHIELS, James Michael",14075017,0,0,,,,2026-08-21T19:08:47.507226+00:00,
967,37,Malumgra electrical services,electricians,"Peckham, South London",SE15 6AQ,"Flat 9, Downend Court, Bibury Cl, London SE15 6AQ",http://malumgraelectricalservicesltd.co.uk/,malumgraelectricalservicesltd.co.uk,020 4505 6500,ChIJyeXW6EIDdkgR8Wo3TrHIx7M,4.6,9,"MONTEIRO DA GRACA, Mario Luis",10911643,0,0,,,,2026-08-21T19:08:48.037735+00:00,
968,37,Electric Vehicle Charger Installation & Electrical Services,electricians,"Peckham, South London",SE15 4QS,"Alys Court, 35 Blenheim Grove, London SE15 4QS",,,020 8103 5915,ChIJw7Z9kCcDdkgR7j354AcjXgA,,,,,0,0,,,,2026-08-21T19:08:48.407534+00:00,
970,37,LONGHURST ELECTRICAL LIMITED,electricians,"Peckham, South London",SE15 6UW,"Unit 19, Lindley House, Lindley Estate, London SE15 6UW",,,0800 078 6013,ChIJHSF0mQwDdkgREvzd_c6CZQA,5.0,5,,,0,0,,,,2026-08-21T19:08:49.114387+00:00,
971,37,Electrician in Peckham,electricians,"Peckham, South London",,,https://www.kchselectrical.co.uk/page/electrician-peckham,kchselectrical.co.uk,,,,,,CE019977,0,1,"same Companies House company number seen at 3 discovered locations; URL path ends in/contains the searched town ('peckham') — per-town landing page pattern; business name ('Electrician in Peckham') is nothing but trade terms plus the searched town ('Peckham, South London') — no brand/founder name at all, rank-and-rent search-phrase pattern rather than a real trading name",,,2026-08-21T19:10:10.615362+00:00,
972,37,Reputable Electrician in Peckham,electricians,"Peckham, South London",,,https://epgspecialists.co.uk/electrician-in-peckham/,epgspecialists.co.uk,,,,,"MANNEH, Abdou",16594632,0,1,URL path ends in/contains the searched town ('peckham') — per-town landing page pattern,,,2026-08-21T19:10:11.228865+00:00,
973,37,Local Emergency Electricians Peckham,electricians,"Peckham, South London",,,https://www.electricianspeckham.co.uk/,electricianspeckham.co.uk,,,,,"SHAFIQUE, Zeeshan",17183608,0,1,"same Companies House company number seen at 3 discovered locations; business name ('Local Emergency Electricians Peckham') is nothing but trade terms plus the searched town ('Peckham, South London') — no brand/founder name at all, rank-and-rent search-phrase pattern rather than a real trading name",,,2026-08-21T19:10:11.748053+00:00,
