id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,is_chain,chain_reason,priority,priority_score,created_at,top_pain_review
752,30,House Rewire Electrician,electricians,"Ilford, East London",IG1 1DS,"96A High Rd, Ilford IG1 1DS",https://localelectricianilford.co.uk/,localelectricianilford.co.uk,07520 641676,ChIJza_rAACn2EcR_31vlb41Qa4,5.0,22,,,0,0,,,,2026-08-21T06:07:31.501323+00:00,
753,30,Safe Spark Solutions - Electricians,electricians,"Ilford, East London",IG6 2TS,"Essex, 22 Aragon Dr, Ilford IG6 2TS",http://www.safesparksolutions.co.uk/,safesparksolutions.co.uk,07966 037885,ChIJw4z9JQY32yAR-3DubMjxDBM,5.0,65,,,0,0,,,,2026-08-21T06:07:31.886731+00:00,
754,30,B S Electrical Services Uk Ltd,electricians,"Ilford, East London",IG1 3QE,"118 Castleview Gardens, Ilford IG1 3QE",https://bs-electrical.co.uk/,bs-electrical.co.uk,07932 621585,ChIJlTnVG7yn2EcRHWfQfXh43rw,4.8,27,"PATEL, Bhimji Shivji",05912917,0,0,,,,2026-08-21T06:07:32.876941+00:00,
755,30,Heyworth Electrical,electricians,"Ilford, East London",IG3 9ES,"44 Ashburton Ave, Ilford IG3 9ES",http://www.heyworthelectrical.com/,heyworthelectrical.com,020 8220 0555,ChIJG1qETTSk2EcRs98NwYAPUpw,4.9,46,,,0,0,,,,2026-08-21T06:07:33.121943+00:00,
756,30,Ilford Electricians Ltd,electricians,"Ilford, East London",RM10 9AB,"162 Ballards Rd, Dagenham RM10 9AB",https://ilfordelectriciansltd.com/,ilfordelectriciansltd.com,07506 467255,ChIJvxxkQkWl2EcR_2tQ3hQW6NQ,5.0,143,"MIAH, Suhel",13075067,0,1,same Companies House company number seen at 7 discovered locations,,,2026-08-21T06:07:33.693320+00:00,
757,30,Ilford Electrical Services,electricians,"Ilford, East London",IG1 1NE,"229b High Rd, Ilford IG1 1NE",,,07577 396900,ChIJQVAIIQCn2EcRJgM4Y_MI6lw,5.0,3,"BATCHU, Aninder",05892273,0,1,same Companies House company number seen at 5 discovered locations,,,2026-08-21T06:07:34.557131+00:00,
758,30,Greenwood Electricals Ilford,electricians,"Ilford, East London",IG2 6UF,"23 Woodford Ave, Gants Hill, Ilford IG2 6UF",,,020 3670 7992,ChIJVVURG-qm2EcRry0fQhhvlGk,5.0,7,,,0,0,,,,2026-08-21T06:07:34.967340+00:00,
759,30,The Electric Company Redbridge,electricians,"Ilford, East London",IG1 1JL,"25G Woodlands Rd, Ilford IG1 1JL",,,020 3670 8140,ChIJdfWu99APdkgRlghEXMUlSgc,5.0,14,,,0,0,,,,2026-08-21T06:07:35.514614+00:00,
760,30,KCS Electrics,electricians,"Ilford, East London",IG1 4DU,"Broadway Chambers, 1 Cranbrook Rd, Ilford IG1 4DU",https://kcs-electrics.co.uk/,kcs-electrics.co.uk,,ChIJ-bGMUUqm2EcRaW5w26aZ8yw,4.8,92,"MEHBOOB, Muhammad Soban",07662504,0,0,,,,2026-08-21T06:07:36.538053+00:00,
761,30,Capital Electric & Gas,electricians,"Ilford, East London",IG3 8XA,"24 Eastwood Rd, Ilford IG3 8XA",,,07940 794227,ChIJM-310sKl2EcRUeQVs1mAzks,5.0,29,"PALACHANDRAN, Sivaram",10317060,0,0,,,,2026-08-21T06:07:37.075473+00:00,
762,30,Mason Electricians Redbridge,electricians,"Ilford, East London",IG1 1QY,"133 St Marys Rd, Ilford IG1 1QY",,,020 3670 7993,ChIJi4DRwYam2EcRGMeCDc2mIig,5.0,7,"AKRAM, Ghazala Shaheen",04246504,0,0,,,,2026-08-21T06:07:37.555694+00:00,
763,30,AA Electrician Services,electricians,"Ilford, East London",IG1 1TZ,"497 High Rd, Ilford IG1 1TZ",,,020 3670 7882,ChIJr1kLVYGm2EcRWQyBz5lNeHI,5.0,1,"JATA, Armand",16445881,0,1,same Companies House company number seen at 3 discovered locations,,,2026-08-21T06:07:38.114048+00:00,
764,30,Ilford electrical Supplies,electricians,"Ilford, East London",IG1 1TF,"389 High Rd, Ilford IG1 1TF",,,020 8478 8508,ChIJYyLOFYam2EcRKz16Ax1Bk_w,4.8,47,"BATCHU, Aninder",05892273,0,1,same Companies House company number seen at 5 discovered locations,,,2026-08-21T06:07:38.670891+00:00,
765,30,Clayhall Electrical Ilford,electricians,"Ilford, East London",IG5 0EN,"167A Longwood Gardens, Clayhall, Ilford IG5 0EN",,,07862 144396,ChIJJXWm262n2EcRrQ2nR1lweGk,5.0,8,"BATCHU, Aninder",05892273,0,1,same Companies House company number seen at 5 discovered locations,,,2026-08-21T06:07:39.238784+00:00,
766,30,Ilford Local Plumbing & Electrician,electricians,"Ilford, East London",IG1 4BL,"181 Ley St, Ilford IG1 4BL",,,020 8106 8245,ChIJz1tr_Tmn2EcR7qrMDK2JlLM,5.0,2,"CARCU, Emanuel Gabriel",13588293,0,0,,,,2026-08-21T06:07:39.841644+00:00,
767,30,Firminio Electrical Services Barking,electricians,"Ilford, East London",IG1 2NW,"36 Hunter Rd, Ilford IG1 2NW",,,020 3670 7990,ChIJvUfWO2am2EcRRWYuTrUKvAw,5.0,7,,,0,0,,,,2026-08-21T06:07:40.151754+00:00,
768,30,Ilford Electrical Services,electricians,"Ilford, East London",IG1 1RH,"1A Melford Rd, Ilford IG1 1RH",https://thesoutheastelectricians.co.uk/Ilford,thesoutheastelectricians.co.uk,0800 920 2064,ChIJV0fKJYem2EcRdDi6MufZYJ0,5.0,1,"BATCHU, Aninder",05892273,0,1,same Companies House company number seen at 5 discovered locations,,,2026-08-21T06:07:40.843309+00:00,
769,30,YES Electrical Ilford,electricians,"Ilford, East London",IG1 1SP,"26 Gordon Rd, Ilford IG1 1SP",,,07421 558036,ChIJ9eFHEpmn2EcRAzdy-n3hv2M,,,"BATCHU, Aninder",05892273,0,1,same Companies House company number seen at 5 discovered locations,,,2026-08-21T06:07:41.637478+00:00,
770,30,Ryker Electrical,electricians,"Ilford, East London",IG1 1HY,"101 Sunnyside Rd, Ilford IG1 1HY",http://www.rykerelectrical.co.uk/,rykerelectrical.co.uk,020 8553 0263,ChIJky5kvgyn2EcRJcyIiifF8Z8,5.0,17,"VANCE, Timothy James",11876955,0,0,,,,2026-08-21T06:07:42.144554+00:00,
771,30,London Electrical and Lighting Ltd,electricians,"Ilford, East London",IG1 1HF,"118d Windsor Rd, Ilford IG1 1HF",,,020 8478 0778,ChIJsym1umOm2EcRp9s_vjiiMCU,4.5,15,"IQBAL, Umair",08682852,0,0,,,,2026-08-21T06:07:42.638306+00:00,
772,30,Ilford E-Bike Clinic,electricians,"Ilford, East London",IG3 8EX,"66 Aldborough Rd. S, Seven Kings, Ilford IG3 8EX",,,07510 935262,ChIJb00Hz2ml2EcRLkEdc9J37us,5.0,12,"ASIF, Hamza",15832813,0,0,,,,2026-08-21T06:07:43.138159+00:00,
773,30,Henley Plumbing And Electric,electricians,"Ilford, East London",IG1 2LW,"210 Ilford Ln, Ilford IG1 2LW",,,07451 277841,ChIJkeKjDWSm2EcRZX33YymYfdI,5.0,2,"GILLAS, Russell William John",01256353,1,1,Companies House PSC shows corporate-entity ownership (company 01256353),,,2026-08-21T06:07:43.669383+00:00,
774,30,Five Star Electrical,electricians,"Ilford, East London",IG1 1SF,"90 Park Rd, Ilford IG1 1SF",,,07939 941801,ChIJETsPc32m2EcRS0hijfH1Krg,2.3,3,,,0,0,,,,2026-08-21T06:07:44.009559+00:00,
